date	state	newPosTests	newTotTests	newDeaths	currentHosp	currentOnVent
3/7/21  IL	1068	68094	12	1141	112
3/6/21	IL	2565	79248	56	1210	108
3/5/21	IL	1442	103336	44	1166	121
3/4/21	IL	1740	73990	49	1200	128
3/3/21	IL	2104	80854	50	1260	138
3/2/21	IL	1577	56181	44	1231	148
3/1/21	IL	1143	42234	24	1288	148
2/28/21 IL	1249	66500	25	1265	150
2/27/21	IL	1780	81668	35	1353	160
2/26/21	IL	2441	92256	68	1393	174
2/25/21	IL	1884	91292	32	1463	168
2/24/21	IL	2022	82976	47	1511	172
2/23/21	IL	1665	61400	22	1488	172
2/22/21	IL	1246	37361	40	1504	169
2/21/21	IL	1585	75269	40	1468	170
2/20/21	IL	1922	73212	58	1551	171
2/19/21	IL	2219	85963	71	1596	190
2/18/21	IL	1966	67542	73	1655	184
2/17/21	IL	1795	49937	25	1719	176
2/16/21	IL	1348	46630	33	1726	179
2/15/21	IL	1420	52389	45	1789	184
2/14/21	IL	1631	64949	34	1777	189
2/13/21	IL	2092	84990	60	1892	202
2/12/21	IL	2598	103009	42	1910	211
2/11/21	IL	2838	96525	116	1954	227
2/10/21	IL	2825	82885	67	2082	232
2/9/21	IL	2082	55705	23	2117	240
2/8/21	IL	1747	47210	41	2161	251
2/7/21	IL	2060	81550	62	2188	245
2/6/21	IL	3062	90295	73	2271	246
2/5/21	IL	3660	105085	106	2318	254
2/4/21	IL	3328	101307	77	2341	265
2/3/21	IL	3314	96894	84	2469	270
2/2/21	IL	2304	60899	63	2447	265
2/1/21	IL	2312	61263	20	2387	278
1/31/21	IL	2428	86871	40	2467	289
1/30/21	IL	3345	107802	67	2600	284
1/29/21	IL	4156	111057	72	2735	297
1/28/21	IL	4191	100119	125	2802	292
1/27/21	IL	3751	80124	96	2931	300
1/26/21	IL	3667	69285	109	3001	320
1/25/21	IL	2944	74202	64	2962	302
1/24/21	IL	3292	90138	35	2994	321
1/23/21	IL	5152	110178	111	3121	338
1/22/21	IL	7042	125831	111	3179	348
1/21/21	IL	4979	99036	138	3281	358
1/20/21	IL	4822	86121	132	3284	379
1/19/21	IL	4318	71533	35	3335	395
1/18/21	IL	3385	63002	68	3345	392
1/17/21	IL	4162	96845	30	3408	387
1/16/21	IL	5343	102372	147	3406	379
1/15/21	IL	6642	107156	149	3446	386
1/14/21	IL	6652	118036	107	3511	382
1/13/21	IL	5862	76107	120	3642	386
1/12/21	IL	6642	93491	134	3553	409
1/11/21	IL	4776	66697	70	3540	401
1/10/21	IL	4711	77775	83	3527	391
1/9/21	IL	6717	102903	102	3589	393
1/8/21	IL	9277	118665	167	3777	422
1/7/21	IL	8757	105518	206	3921	450
1/6/21	IL	7569	80974	173	3928	451
1/5/21	IL	6839	87083	150	3905	457
1/4/21	IL	5059	48254	90	3948	471
1/3/21	IL	4469	45465	105	3817	462
1/2/21	IL	4762	61987	44	3799	458
1/1/21	IL	7201	97222	195	3992	464
12/31/20	IL	8009	99426	167	4093	496
12/30/20	IL	7374	74573	215	4244	496
12/29/20	IL	5644	66786	126	4313	506
12/28/20	IL	4453	51046	134	4243	515
12/27/20	IL	3767	46226	112	4083	497
12/26/20	IL	3293	57448	70	4021	494
12/25/20	IL	5742	98958	194	4352	538
12/24/20	IL	7037	94909	118	4488	518
12/23/20	IL	6762	82328	171	4593	536
12/22/20	IL	6239	84764	144	4571	557
12/21/20	IL	4699	86454	120	4460	546
12/20/20	IL	6003	78079	81	4389	546
12/19/20	IL	7562	96851	120	4624	562
12/18/20	IL	7377	112292	221	4690	589
12/17/20	IL	8828	92015	208	4804	575
12/16/20	IL	7123	93278	190	4793	590
12/15/20	IL	7359	92922	132	4965	598
12/14/20	IL	7214	92256	116	4951	621
12/13/20	IL	7216	63648	107	5073	612
12/12/20	IL	8737	126888	165	5048	627
12/11/20	IL	9420	104448	222	5141	635
12/10/20	IL	11101	114503	232	5138	606
12/9/20	IL	8256	92737	229	5284	647
12/8/20	IL	7910	95825	168	5199	626
12/7/20	IL	8691	77569	100	5190	648
12/6/20	IL	7598	79538	99	5160	643
12/5/20	IL	9887	102678	235	5331	694
12/4/20	IL	10526	112634	157	5453	703
12/3/20	IL	10959	106778	228	5653	693
12/2/20	IL	9757	85507	266	5764	714
12/1/20	IL	12542	116081	146	5835	721
11/30/20	IL	6190	66980	103	5849	715
11/29/20	IL	7178	62740	44	5858	723
11/28/20	IL	7873	79055	152	5775	686
11/27/20	IL	7574	77130	90	5829	698
11/26/20	IL	12022	107556	156	6032	724
11/25/20	IL	11378	114233	178	6133	679
11/24/20	IL	9469	97323	150	6134	668
11/23/20	IL	8322	91562	61	6171	635
11/22/20	IL	10012	92437	99	6072	589
11/21/20	IL	11891	120284	157	6175	595
11/20/20	IL	13012	116024	147	6111	604
11/19/20	IL	14612	113447	180	6037	587
11/18/20	IL	8922	103569	151	5953	547
11/17/20	IL	12601	94205	113	5887	545
11/16/20	IL	11632	90612	42	5581	514
11/15/20	IL	10631	84831	74	5474	490
11/14/20	IL	11028	114370	197	5415	499
11/13/20	IL	15415	106540	45	5362	488
11/12/20	IL	12702	100617	48	5258	438
11/11/20	IL	12657	93464	153	5042	404
11/10/20	IL	12623	101955	82	4742	399
11/9/20	IL	10573	64760	25	4409	376
11/8/20	IL	10009	90757	50	4303	368
11/7/20	IL	12438	98418	91	4250	367
11/6/20	IL	11790	98401	84	4090	339
11/5/20	IL	9935	86015	97	3891	343
11/4/20	IL	7538	71857	55	3761	327
11/3/20	IL	6516	82435	68	3594	326
11/2/20	IL	6222	68118	18	3371	298
11/1/20	IL	6980	78458	25	3294	284
10/31/20	IL	7899	92636	56	3228	290
10/30/20	IL	8489	95111	49	3092	288
10/29/20	IL	6363	83056	56	3030	269
10/28/20	IL	6110	70752	51	2861	243
10/27/20	IL	4000	62074	46	2758	241
10/26/20	IL	4729	57264	17	2638	238
10/25/20	IL	4062	72097	24	2605	214
10/24/20	IL	6161	83517	63	2616	222
10/23/20	IL	5000	82256	41	2498	197
10/22/20	IL	4942	80977	42	2463	212
10/21/20	IL	4342	66791	68	2338	194
10/20/20	IL	3714	59077	41	2261	195
10/19/20	IL	3113	48684	22	2096	179
10/18/20	IL	4245	79296	22	2012	157
10/17/20	IL	3629	77489	27	2073	165
10/16/20	IL	5103	87759	52	2016	151
10/15/20	IL	4015	67086	53	1932	147
10/14/20	IL	2862	52669	48	1974	153
10/13/20	IL	2851	55993	29	1848	160
10/12/20	IL	2742	47579	13	1764	153
10/11/20	IL	2727	64047	9	1776	159
10/10/20	IL	2905	66256	30	1807	166
10/9/20	IL	3117	71599	32	1812	153
10/8/20	IL	3059	72491	32	1755	163
10/7/20	IL	2630	58820	42	1679	165
10/6/20	IL	1617	49513	31	1673	159
10/5/20	IL	1853	38538	14	1631	155
10/4/20	IL	1453	51656	17	1521	140
10/3/20	IL	2442	71634	31	1535	140
10/2/20	IL	2456	72691	52	1678	162
10/1/20	IL	2166	65615	24	1635	149
9/30/20	IL	2273	58546	35	1632	152
9/29/20	IL	1362	45624	23	1535	151
9/28/20	IL	1709	41142	13	1491	135
9/27/20	IL	1604	50822	13	1486	144
9/26/20	IL	2441	65217	25	1597	141
9/25/20	IL	2805	69793	33	1637	124
9/24/20	IL	2257	62071	30	1713	155
9/23/20	IL	1848	46391	22	1563	144
9/22/20	IL	1531	41829	29	1455	153
9/21/20	IL	1477	38234	7	1436	153
9/20/20	IL	1402	48011	14	1417	151
9/19/20	IL	2529	74286	25	1469	141
9/18/20	IL	2223	61918	23	1481	149
9/17/20	IL	2056	57800	25	1558	144
9/16/20	IL	1941	52311	35	1565	143
9/15/20	IL	1466	39031	18	1584	144
9/14/20	IL	1373	35930	5	1431	131
9/13/20	IL	1462	46890	14	1422	136
9/12/20	IL	2121	56594	22	1509	170
9/11/20	IL	2312	56661	44	1619	155
9/10/20	IL	1953	48982	28	1609	141
9/9/20	IL	1337	48029	28	1580	133
9/8/20	IL	1392	31363	7	1504	133
9/7/20	IL	1381	28975	8	1484	137
9/6/20	IL	1403	46496	5	1504	134
9/5/20	IL	2806	61935	23	1550	151
9/4/20	IL	5594	149273	38	1621	155
9/3/20	IL	1360	40795	24	1620	144
9/2/20	IL	2128	32751	27	1596	142
9/1/20	IL	1492	22961	38	1513	146
8/31/20	IL	1668	47379	7	1492	157
8/30/20	IL	1992	43693	11	1472	155
8/29/20	IL	1880	48784	11	1563	134
8/28/20	IL	2434	48383	20	1546	132
8/27/20	IL	1707	44510	23	1631	151
8/26/20	IL	2157	50362	37	1573	132
8/25/20	IL	1680	40859	29	1549	135
8/24/20	IL	1612	36155	8	1529	141
8/23/20	IL	1893	54351	6	1449	117
8/22/20	IL	2356	56766	17	1488	127
8/21/20	IL	2293	51736	22	1526	121
8/20/20	IL	1832	51612	27	1519	124
8/19/20	IL	2295	50299	24	1519	144
8/18/20	IL	1740	34175	26	1510	128
